data_hora	user_name	title	id	viewer_count	language	game_id
24/05/2026 00:05:52	hexy	👻 REAL SCARY VIDEOS 👻 GHOSTS, KILLERS, SHOCKING, YOU WILL HAVE NIGHTMARES IF YOU WATCH 👻 OUR SPOOKY 👻 IRL GHOST HUNT TOMORROW  👻  @hexy	319383123929	2720	en	509658
24/05/2026 00:05:52	Facada	A VOLTA PARA TWITCH - 24 HORAS DE LIVE! 🏋️	318719668572	2659	pt	509658
24/05/2026 00:05:52	Pikabooirl	!Drops 2nd BEST DAY OF THE WEEK! MULTISTREAMING??? !wallet #ad !youtube !vods	316632579319	2647	en	18122
24/05/2026 00:05:52	rayasianboy	💈🍀 CLOVER BARBERSHOP OPENING 🍀💈 FREE CUTS FOR NEW CUSTOMERS 🍀💈	318723798108	2600	en	509672
24/05/2026 00:05:52	dooby3D	doobohayo	319386114905	2570	en	1264310518
24/05/2026 00:05:52	sneakylol	eatin	316630586999	2541	en	509658
24/05/2026 00:05:52	立川	シカゴ大会 見る	319552405339	2540	ja	55453844
24/05/2026 00:05:52	Staryuuki	🔴 NOCHE DE BAILES SABROSOS - EL CHAT ELIGE LOS BAILES 🔴 !INSTAGRAM !YOUTUBE !CLIPVIRAL	319551252827	2512	es	601470178
24/05/2026 00:05:52	absolut3	Как выиграть мид ✅ AURA ✅ я не гуль ✅  !конкурс !tg !румтур	316109276374	2509	ru	29595
24/05/2026 00:05:52	TampaNeverSleeps	History of NRS - COMBO BREAKER 2026 Day 2 - !bracket !schedule	318717042524	2459	en	510578
24/05/2026 00:05:52	bendadonnn	🟩 BRAND RISK 🟩 VEGAS 🟩 IRL 🟩	318726757212	2455	en	509672
24/05/2026 00:05:52	deusamir	TORNEO x $20,000 SOLO LATAM - OGRO MEXICANO	319445972954	2437	es	512710
24/05/2026 00:05:52	caseoh247	VOD ReRuns	318719789148	2421	en	509658
24/05/2026 00:05:52	O_P_Hacker	🔥 DROPS🔥BIRTHDAY STREAM > OLF PLAYOFFS 10m DELAY | ALERTS MUTED | !yt !dc !coaching !exitlag !T3	318671815518	2411	en	27546
24/05/2026 00:05:52	艾怡	[ENG/中] !subdc HEY😈🖤訂閱我可以看更多🫶🏻Sub to see more of me🥵	318668413150	2311	zh-hk	21779
24/05/2026 00:05:52	nymphelia	♡LIVE ASMR♡ aussie catnymph earlicking, kisses, heartbeats & more ♡  !links	315672218474	2299	en	509659
24/05/2026 00:05:52	Mingo	🔴 ELEMENT DAY 2 QUALS RIGHT NOWWW 🔴GOING PRO SOON🔴 !socials !settings	318795370080	2292	en	460630
24/05/2026 00:05:52	Oscapedi	🎰🚀 18+ !Bonus in chat – Tonight we’re chasing the max win 🚀🎰	316108921942	2275	en	498566
24/05/2026 00:05:52	KokoNuts	im going to yap today and theres nothing you can do to stop me | !supps !yt !tts	319387597145	2266	en	509658
24/05/2026 00:05:52	Kingsman265_Twitch	[DROPS ON] Cheaters are everywhere... there's only one man who can save us all... !youtube !discord	318725769564	2248	en	1264310518
24/05/2026 00:05:52	judah_xx	РОЗЫГРЫШ 100 АРКАН В ТГ | !TG !WINLINE !EASYDOTA	316106113750	2248	ru	29595
24/05/2026 00:05:52	Arky	🔶 ZION ROAD TRIP 🔶  !oscs !comm !socials	318803503072	2203	en	509658
24/05/2026 00:05:52	Bigpuffer	(DROPS) SUBNAUTICA CLOO BABY !bbl	319550107355	2194	en	723826053
24/05/2026 00:05:52	Trickywi	🔆MEMES, VIBES, AND GAMES WITH SUSSY BIRD DRAGON  | 🌴 | !discord | !twitter | !gg	319383409881	2192	en	509658
24/05/2026 00:05:52	冠緯	5/23  韓服726開飆     !DC	315932556657	2175	zh	21779
24/05/2026 00:05:52	DeadlockNightShift	DLNS Watchparty - DSI Invitational #3	315614266067	2160	en	2132205352
24/05/2026 00:05:52	Warn	[!DROPS HERE] OWCS CHAMPIONS CLASH FINALE. NEW HERO!?! 🟧 4x LOOTBOXES + ALL SKINS + MORE 🟧 the DRAMA -> !video	318800166880	2157	en	515025
24/05/2026 00:05:52	DatModz	Diablo 2 Season 14 Launch !Patch - Hardcore Community Group - Assassin Build	318799325536	2105	en	1788326126
24/05/2026 00:05:52	AmazonMusicEnVivo	Sueños ft. J Balvin, Kali Uchis, Danny Ocean y más Patrocinado por !Celsius, !McDonald's | !settimes !channel1	318669805278	2104	es	26936
24/05/2026 00:05:52	Yugi2x	🌟 ZION ROAD TRIP 🌟 !socials !comm !oscs	319390171993	2103	en	509658
24/05/2026 00:05:52	ravusssss	SATURDAY NIGHT FEVER  !holy !maillots !emma	319442006234	2094	fr	509658
24/05/2026 00:05:52	はりーシ	C-0ポイントから這い上がるのスプラトゥーン3、アドバイス大歓迎	315930779505	2090	ja	1158884259
24/05/2026 00:05:52	Masayoshi	🚀 RAZE RAZE RAZE 🚀	316632933623	2072	en	516575
24/05/2026 00:05:52	Ricci	🔴 ELEMENT DAY 2 QUALS 🔴 120 SECOND DELAY 🔴 !DISCORD	319548344283	2067	en	460630
24/05/2026 00:05:52	Scarra	DAY 2 BOXBOX BASH I MUST GAIN THE MOST POINTS	317200212696	2063	en	513143
24/05/2026 00:05:52	Risezd	LAST DIV CUP FINALS B4 LAN | !com !twitter !sub	319384037209	2053	en	33214
24/05/2026 00:05:52	BURGAOfps	+18  💰HOJE TEM RINHA DOS MILIONÁRIOS💲🔴!RINHA 🔴!LINKS	318093841140	2033	pt	29452
24/05/2026 00:05:52	tleyds	1136 LP start watching end of boxboxbash into ladder gamin !discord	316632420983	2020	en	513143
24/05/2026 00:05:52	moistcr1tikal	Trying some new games	318803394656	2004	en	66082
