media_viewers	pico_viewers	desvio_viewers	frequencia	crescimento_medio	volatilidade	tempo_horas	quantidade_categorias
-0.168544221618738	-0.0526783407609004	0.016823395227469232	-0.0969173963396363	-0.03602815463481343	-0.05240315409485758	-0.0969173963396363	0.6983190252951573
-0.2892797091372197	-0.18804307787759958	-0.16071926357938593	-0.5538315674386344	-0.04521775115380372	-0.21417659783859194	-0.5538315674386344	-0.4359432291543438
-0.11492201635215192	-0.08588341255362454	-0.02456899352860845	-0.5728696579010926	-0.3167398234052566	0.09612243789192511	-0.5728696579010926	-0.4359432291543438
-0.2725427180174824	-0.18206362050496344	-0.15990941258591299	-0.1730697581894693	-0.044937918038013294	-0.21279985949286875	-0.1730697581894693	-0.4359432291543438
-0.2093848668384097	-0.12799405915665785	-0.1262605862021264	-0.0017269440273450381	-0.030654051898733783	-0.12740524582605361	-0.0017269440273450381	-0.4359432291543438
-0.19707252678373532	-0.14873132621494917	-0.14561766588692956	-0.38248875327651005	-0.05249125960192571	-0.1750292733752917	-0.38248875327651005	0.13118789807040676
-0.15494229572208856	-0.13473685151303477	-0.1306019943521997	-0.7251743816007586	-0.4569383669786904	-0.17265708477829597	-0.7251743816007586	-0.4359432291543438
-0.26817254746761227	-0.15865468100357938	-0.11681625561080035	-0.6109458388260091	-0.25783441439076404	-0.17669102836371348	-0.6109458388260091	-0.4359432291543438
-0.17724356773316388	-0.1496218836959801	-0.15894544246673636	-0.687098200675842	-0.027534450798277793	-0.2109788243930226	-0.687098200675842	-0.4359432291543438
-0.20464083176486947	-0.15560134106861623	-0.14493306168714312	-0.7061362911383003	0.06666526870568737	-0.15969781938109875	-0.7061362911383003	-0.4359432291543438
0.22750938265789045	0.12288870549948012	0.26278564405710814	-0.6299839292884674	0.703867824014513	0.9804773280818366	-0.6299839292884674	-0.4359432291543438
-0.22772416195732864	-0.1571280110360978	-0.13660030645064156	-0.6680601102133839	-0.08845842523071241	-0.15279014993057943	-0.6680601102133839	-0.4359432291543438
