user_name	media_viewers	pico_viewers	desvio_viewers	frequencia	crescimento_medio	volatilidade	tempo_horas	language	game_id
9QOQ	459.863309352518	828	132.16827226973174	139	0.13043478260869565	68.69650020165199	34.75	zh	509658.0
9_grammov	412.10526315789474	468	31.492317823103267	19	1.7777777777777777	21.236914463916655	4.75	ru	493959.0
9impulse	710.3205128205128	1549	282.1446848872458	78	1.974025974025974	245.3334451648878	19.5	ru	511224.0
9pasha	1652.45	2370	405.5607744495909	80	14.20253164556962	259.14461756714417	20.0	ru	29595.0
A1iberry	488.8	540	54.5912080833535	5	-24.0	47.20875624994442	1.25	ru	509658.0
A1phaChino	230.5	279	27.480762502017804	14	-2.076923076923077	16.635612094046607	3.5	en	490379.0
A1r1sh	334.25	421	61.27601488347623	12	9.727272727272727	37.65127065343455	3.0	ru	509658.0
ABBASOOV	525.0555555555555	938	147.09635100160514	54	-4.962264150943396	98.8689813424722	13.5	ru	509672.0
ABULEEL20	464.7142857142857	651	94.2078249707225	21	5.0	97.4625434124364	5.25	ar	30921.0
AColdOne	287.5421686746988	422	46.457770282588214	83	-0.9512195121951219	32.18653289388277	20.75	en	459931.0
ADC_Vr	350.3333333333333	399	42.7239199200323	3	-7.0	103.23759005323593	0.75	en	1435206302.0
ADERTYH	267.9642857142857	374	48.84630631083212	28	-0.5555555555555556	35.92335145121039	7.0	es	21779.0
ADHDGenerate	263.1	495	97.21162481925708	10	-35.55555555555556	47.80719378689548	2.5	en	66082.0
ADarkLegacy	230.66666666666666	282	32.400142449829296	27	-2.769230769230769	20.529603390826026	6.75	en	9618.0
AFs_short_on_water	261.1111111111111	283	23.40109209227447	9	1.375	22.315513501982046	2.25	en	32502.0
AGBIN3R	234.9351851851852	380	42.45773558705572	108	0.40186915887850466	23.784750074279252	27.0	es	1077552121.0
AHUYANG	467.3658536585366	572	79.76764284046509	82	-2.5185185185185186	49.5900975778207	20.5	ru	509658.0
AIMLUL	682.1071428571429	985	185.12636260098162	56	8.436363636363636	113.7345453296702	14.0	ru	509658.0
AJGtv	223.5	252	20.338797080129066	4	1.3333333333333333	38.552993831002716	1.0	it	518203.0
AKAWonder	336.29411764705884	441	41.31852596881079	17	-7.25	34.324918062538764	4.25	es	513143.0
AL1ASKHAB	644.75	928	302.94495020901553	8	-71.42857142857143	258.8776140333865	2.0	ru	32982.0
AL7B	240.92592592592592	344	51.812476909840555	27	3.076923076923077	23.05458405944133	6.75	ar	516575.0
ALEKSOV	355.2857142857143	389	29.3752406271806	7	8.833333333333334	23.6255511399558	1.75	uk	509672.0
ALEVTINA_KASIMOVA	556.68	883	153.28064696723416	50	8.081632653061224	94.13771754161866	12.5	ru	509658.0
ALF_Deutsch	174.0	180	5.291502622129181	3	5.0	4.242640687119285	0.75	de	499973.0
ALKAPONE	1850.726618705036	2643	391.52297960869765	139	9.557971014492754	225.57996682407216	34.75	es	509658.0
ALLDAYNYC	334.6666666666667	377	49.66219219218311	3	33.5	89.80256121069154	0.75	en	509672.0
ALLEYthugg	296.3333333333333	311	18.175074506954118	3	13.0	31.11269837220809	0.75	ru	32982.0
ALLinPav	411.2173913043478	731	199.55039384525017	23	-23.272727272727273	78.64881667028666	5.75	en	488190.0
