user_name	media_viewers	pico_viewers	desvio_viewers	frequencia	crescimento_medio	volatilidade	tempo_horas	quantidade_categorias	language	game_id	cluster
コウジ777	301.0	380	52.34142718726723	33	5.6875	11.292125432096189	8.25	1	ja	509658.0	0
ゴリゴリ	631.2745098039215	1247	238.7146479319083	51	4.9	125.92940199061648	12.75	2	ja	491931.0	0
サカナイン	620.6310160427807	1068	179.0495146886817	187	1.0698924731182795	107.0920819087758	46.75	1	ja	66019.0	0
ザクレイ	397.2533333333333	663	104.53527703193858	75	0.7162162162162162	71.53244694758297	18.75	2	ja	21779.0	0
シャークん	308.42857142857144	344	16.63186843439569	7	-2.1666666666666665	22.184829651513365	1.75	1	ja	27471.0	0
ジケさん	210.1818181818182	265	24.204027107687352	77	0.0526315789473684	17.159560784466176	19.25	1	ja	509672.0	0
ジャンクマン	612.4392523364486	753	105.93262165882236	107	2.60377358490566	85.18212189412954	26.75	5	ja	509673.0	0
ジュニアザンギエフ	301.2	353	36.6633331818044	5	3.0	66.94774081326419	1.25	1	ja	55453844.0	0
スタンミ	1427.5135135135135	3201	619.6004815659498	37	43.47222222222222	470.63941223531873	9.25	3	ja	2009321156.0	0
スマイル_	395.3333333333333	447	40.11815881451525	6	-18.6	12.700393694685216	1.5	1	ja	1147745783.0	0
タケゾーだよ	431.4	467	26.725767840544204	10	5.888888888888889	21.221713199247397	2.5	1	ja	1099705332.0	0
タルレミエラ	421.9285714285714	631	123.95127099960526	14	20.07692307692308	111.91474548248884	3.5	1	ja	515025.0	0
チオス	247.0	292	34.36083041293774	4	-27.0	11.357816691600547	1.0	1	ja	491487.0	0
デイワン	460.57142857142856	1223	222.5851230120767	147	2.9657534246575343	120.21529046033584	36.75	2	ja	21779.0	0
ドコムス	3184.266666666667	4086	488.8370388736032	30	-37.48275862068966	216.35596011626885	7.5	3	ja	509658.0	0
ドチタオさん	243.41176470588235	306	36.35426182638256	17	5.5	16.18229485167869	4.25	1	ja	982348888.0	0
ニーサン	1744.0	2176	346.2109183720238	15	25.785714285714285	203.44009837387915	3.75	1	ja	1990731722.0	0
ネコと和解	221.66666666666663	252	26.388128644019705	3	-2.5	64.34671708797582	0.75	1	ja	55453844.0	0
ネフェルー	747.3333333333334	1009	257.127076235338	3	257.0	19.79898987322333	0.75	1	ja	509659.0	0
ノビーー	497.04545454545456	610	50.37577608402329	44	3.232558139534884	46.19206137180177	11.0	1	ja	32982.0	0
ハイタニ	2313.2678571428573	7404	2210.162161809288	56	26.945454545454545	977.495390122346	14.0	2	ja	55453844.0	0
ハサキング	320.51724137931035	435	43.71794392111384	29	-0.8928571428571429	32.6489059265553	7.25	2	ja	21779.0	0
ハレっち	203.3658536585366	287	29.16055220461452	41	-1.45	25.061923310073396	10.25	1	ja	21779.0	0
バトラ	5957.456989247312	10145	1494.7731856433782	186	30.416216216216217	844.1406066918235	46.5	4	ja	114524791.0	0
バル子	432.25	570	52.81407091823658	24	2.652173913043478	57.693239477627934	6.0	1	ja	32982.0	0
ビビンバ山本	220.75	234	8.84590300647707	4	-6.0	9.539392014169456	1.0	1	ja	515025.0	0
ピースだ	1251.2444444444443	3327	830.032752791762	45	4.613636363636363	496.36015693357234	11.25	1	ja	511224.0	0
ファルコン竹田とは	440.0625	584	81.19808597908369	16	3.733333333333333	46.70800889824031	4.0	2	ja	1435206302.0	0
フルコン_2525	333.5	487	105.91506030777678	16	-2.933333333333333	67.90904280902578	4.0	2	ja	32982.0	0
ヘルアン	307.0810810810811	390	51.89486079157144	37	1.6388888888888888	44.93751393579932	9.25	5	ja	32982.0	0
ヘンディー	850.7037037037037	1948	319.5631439587622	108	-1.3271028037383177	157.2580966929504	27.0	3	ja	1901865180.0	0
ベルモナ	265.75	310	38.87051153080786	4	-10.333333333333334	69.00966115938647	1.0	1	ja	1991115310.0	0
ボイラ	268.6666666666667	302	29.7040962382856	3	21.5	50.20458146424488	0.75	1	ja	32982.0	0
ボドカさん	3835.462809917356	17210	4288.191271856008	121	8.016666666666667	1325.3009550923243	30.25	6	ja	509658.0	0
ボンちゃん	906.9230769230768	1403	316.80516701303	26	-11.4	225.8030114945325	6.5	2	ja	55453844.0	0
マクドナルドさん	1985.7636363636364	2981	569.8471518143934	55	-8.592592592592593	356.8839734565462	13.75	1	ja	32982.0	0
マッスルまなみ	325.6666666666667	348	20.108041509140904	3	-19.5	12.020815280171307	0.75	1	ja	386821.0	0
メルトステラ	529.6052631578947	1538	308.7645424498305	38	-0.6216216216216216	254.4376535018344	9.5	1	ja	511224.0	0
メルトンめるとん	1465.4054054054054	2339	639.7892213438328	37	-21.47222222222222	529.1210764012934	9.25	2	ja	515025.0	0
モ誰	1043.3782383419689	1291	170.61734397660285	193	0.7708333333333334	107.93860763970042	48.25	1	ko	509660.0	0
ラフスタ	617.0	1193	284.0091547820246	26	-19.88	247.2711602000255	6.5	1	ja	509658.0	0
リグゼ	184.86666666666667	227	19.06330306661266	15	3.142857142857143	15.406577730392865	3.75	1	ja	114524791.0	0
レイちゃん__	381.3	521	73.82062185139267	20	-9.157894736842104	61.12124849464267	5.0	1	ja	32982.0	0
レグルシュライオンハート	351.968253968254	525	84.46090300976412	63	0.8064516129032258	59.29278249546903	15.75	1	ja	21779.0	0
レツ	303.8333333333333	331	21.036044103280243	12	-0.6363636363636364	20.948855468844723	3.0	1	ja	1945019091.0	0
レナベースティア	1864.3333333333333	2573	600.3884298241153	6	228.4	442.9303556994034	1.5	1	ja	509659.0	0
レヨン	530.8936170212766	640	55.29180851452281	47	-0.5652173913043478	29.552704086776554	11.75	3	ja	516575.0	0
レントンゲームズ	474.16	727	120.5417216845133	25	2.375	130.1219536668849	6.25	2	ja	32982.0	0
ロンサールちゃん	398.0	408	10.714476188783092	6	4.6	7.893034904268446	1.5	1	ja	491487.0	0
一ノ瀬とおる	392.9876543209877	915	166.7301332863349	81	0.8375	76.2732336464508	20.25	4	ja	516575.0	0
丁義	584.7567567567568	1040	223.57578402843905	111	3.0727272727272728	113.12432951524424	27.75	5	zh	512864.0	0
七七小姐	440.6	558	89.23732402980269	5	37.0	154.7384890710776	1.25	1	zh	1630982727.0	0
七个橙	1201.65	1884	413.9938055727786	20	50.31578947368421	352.95625360526526	5.0	1	zh	509658.0	0
