	21779	27471	32399	509658	516575	Total
biggest	0	3	0	1	0	4
parrot	0	4	0	0	0	4
prx	0	0	0	0	4	4
played	0	0	0	0	4	4
crazyguy	0	0	0	0	4	4
ranked	0	0	0	0	4	4
rare	0	3	0	0	1	4
mai	0	0	0	4	0	4
siktir	0	0	0	4	0	4
yep	0	0	0	4	0	4
wemby	0	0	0	4	0	4
knicks	0	0	0	4	0	4
link	1	0	2	1	0	4
liquid	0	0	3	0	1	4
jugi	0	0	4	0	0	4
tired	2	0	0	0	2	4
mate	0	0	0	4	0	4
super	1	0	1	0	2	4
cup	0	0	0	3	1	4
ggs	1	1	2	0	0	4
insane	0	1	1	0	2	4
peak	0	2	2	0	0	4
hesbuh	4	0	0	0	0	4
storm	1	0	0	0	3	4
score	4	0	0	0	0	4
letroll	4	0	0	0	0	4
juh	0	0	4	0	0	4
donk	0	0	4	0	0	4
record	1	2	0	0	1	4
fr	0	0	0	2	2	4
awp	0	0	4	0	0	4
guests	0	1	0	0	3	4
reallymad	1	0	2	0	1	4
marwn	0	0	4	0	0	4
lmfaoo	0	0	4	0	0	4
blue	0	1	1	0	2	4
sit	0	1	0	0	3	4
happened	0	1	0	1	2	4
attack	0	1	0	1	2	4
nrg	0	0	2	0	2	4
asstralis	0	0	4	0	0	4
funny	1	0	0	3	0	4
yoo	0	1	0	1	2	4
vitality	0	0	1	0	3	4
single	1	0	3	0	0	4
spin	1	0	0	3	0	4
mousepad	0	0	4	0	0	4
pickems	0	0	4	0	0	4
point	0	0	1	2	1	4
match	1	0	1	0	2	4
eslcsgg	0	0	4	0	0	4
laugh	1	0	0	3	0	4
ahh	1	0	3	0	0	4
swear	0	0	1	1	2	4
dropped	0	2	0	2	0	4
build	2	1	0	1	0	4
pagman	0	0	0	4	0	4
brain	0	1	0	3	0	4
gmd	0	0	0	0	4	4
se	1	0	3	0	0	4
arrow	0	0	4	0	0	4
mutted	0	0	0	4	0	4
pay	0	2	1	1	0	4
twitter	0	1	0	2	1	4
smh	0	2	1	0	1	4
building	0	1	2	0	1	4
churches	0	0	0	4	0	4
rape	0	0	0	4	0	4
hihihi	0	4	0	0	0	4
mouth	0	0	0	4	0	4
burger	1	3	0	0	0	4
wp	2	0	0	0	2	4
happi	0	0	0	0	4	4
current	1	0	0	0	3	4
head	1	0	0	0	3	4
elden	4	0	0	0	0	4
ofc	1	1	1	0	1	4
strange	0	0	0	0	4	4
fictiosip	0	0	0	0	4	4
lebron	0	0	0	0	4	4
cap	0	0	0	0	3	3
bard	3	0	0	0	0	3
bonus	0	0	3	0	0	3
iq	0	0	1	2	0	3
qka	0	0	3	0	0	3
te	0	0	3	0	0	3
welp	1	0	1	0	1	3
pbop	0	0	0	0	3	3
spiderman	0	0	0	0	3	3
surely	0	2	1	0	0	3
skill	0	1	0	1	1	3
issue	0	2	0	0	1	3
huge	0	1	2	0	0	3
word	0	2	1	0	0	3
based	1	0	0	2	0	3
zilean	3	0	0	0	0	3
type	2	0	1	0	0	3
havent	2	0	0	1	0	3
rr	0	0	0	0	3	3
aw	0	3	0	0	0	3
sammejam	0	3	0	0	0	3
solo	1	0	1	0	1	3
winnable	3	0	0	0	0	3
shouldve	0	0	0	0	3	3
ring	3	0	0	0	0	3
vamos	0	0	0	3	0	3
beautiful	0	0	0	1	2	3
cabrones	0	0	0	3	0	3
yugixcheer	0	0	0	3	0	3
worry	1	0	2	0	0	3
joshsekiclap	0	0	0	0	3	3
josh	0	0	0	0	3	3
major	0	0	3	0	0	3
clip	1	0	0	1	1	3
helloo	0	2	0	0	1	3
wa	0	0	0	0	3	3
eye	1	0	0	1	1	3
hexagodotamate	0	0	3	0	0	3
balding	1	0	0	2	0	3
goo	0	0	0	3	0	3
rumble	3	0	0	0	0	3
diff	2	1	0	0	0	3
dead	0	0	0	3	0	3
june	2	1	0	0	0	3
wheel	1	2	0	0	0	3
punishment	2	0	0	1	0	3
jakeys	0	0	0	3	0	3
jinxed	0	0	0	0	3	3
theo	0	3	0	0	0	3
making	0	1	1	0	1	3
bet	0	1	0	0	2	3
stats	0	2	0	0	1	3
caught	2	0	1	0	0	3
viewers	3	0	0	0	0	3
rey	0	0	0	3	0	3
mysterio	0	0	0	3	0	3
hmm	1	0	0	2	0	3
si	1	0	1	0	1	3
pizza	0	3	0	0	0	3
glorpass	0	0	0	0	3	3
seraphvpain	0	0	0	0	3	3
degloved	2	0	0	1	0	3
sonion	1	0	0	2	0	3
laughing	0	0	3	0	0	3
question	2	0	0	0	1	3
tinakifine	0	0	0	0	3	3
juan	0	0	0	0	3	3
trust	1	1	0	1	0	3
os	1	0	1	0	1	3
toe	3	0	0	0	0	3
noo	1	2	0	0	0	3
atleast	0	0	2	1	0	3
group	0	0	0	3	0	3
tbf	0	0	0	3	0	3
coach	0	0	1	0	2	3
speedsmile	3	0	0	0	0	3
sell	0	0	3	0	0	3
average	0	0	2	0	1	3
primmie	0	0	0	0	3	3
clears	0	0	0	0	3	3
overrated	0	3	0	0	0	3
joke	1	0	2	0	0	3
dc	0	0	0	3	0	3
save	0	0	2	0	1	3
jabbi	0	0	3	0	0	3
gaulespain	0	0	3	0	0	3
brunson	0	0	0	3	0	3
night	1	0	1	0	1	3
cadetcatdance	0	3	0	0	0	3
lowk	0	2	1	0	0	3
som	0	0	0	0	3	3
rooting	0	0	0	0	3	3
main	2	0	0	0	1	3
worth	1	0	1	1	0	3
canezerra	0	0	0	0	3	3
lev	0	0	0	0	3	3
cortisol	2	0	0	0	1	3
business	0	3	0	0	0	3
serve	0	3	0	0	0	3
manager	0	3	0	0	0	3
theobameme	0	3	0	0	0	3
freak	2	0	0	0	1	3
dm	0	0	0	0	3	3
choose	0	0	0	0	3	3
xqcl	3	0	0	0	0	3
smokes	0	0	3	0	0	3
stage	0	0	1	0	2	3
wagag	0	0	3	0	0	3
cock	0	0	3	0	0	3
vulpkiss	0	0	3	0	0	3
europe	1	0	0	2	0	3
challenge	1	0	0	2	0	3
italy	3	0	0	0	0	3
catpls	1	0	2	0	0	3
wild	0	0	1	0	2	3
spent	0	3	0	0	0	3
secs	0	3	0	0	0	3
theobaldthebird	0	3	0	0	0	3
flashbacks	0	3	0	0	0	3
delights	0	0	0	0	3	3
scopedads	0	0	0	0	3	3
windows	0	0	0	0	3	3
great	1	0	1	0	1	3
email	0	0	3	0	0	3
woman	1	0	1	1	0	3
en	2	0	0	0	1	3
trav	0	0	0	0	3	3
adc	3	0	0	0	0	3
gifters	0	0	2	0	1	3
moderator	3	0	0	0	0	3
hug	2	1	0	0	0	3
wins	2	0	1	0	0	3
msg	0	0	0	1	2	3
bag	0	0	0	1	2	3
mika	0	0	0	0	3	3
sady	0	3	0	0	0	3
pc	0	0	1	1	1	3
bigtime	0	0	0	0	3	3
quick	0	1	1	1	0	3
user	0	3	0	0	0	3
endures	0	3	0	0	0	3
strikes	0	3	0	0	0	3
karlkocluetorbing	0	3	0	0	0	3
noxwhat	0	3	0	0	0	3
nick	3	0	0	0	0	3
app	1	0	0	2	0	3
polling	0	0	0	0	3	3
rate	0	0	0	0	3	3
fk	3	0	0	0	0	3
worse	3	0	0	0	0	3
luck	1	0	1	1	0	3
reading	0	0	0	1	2	3
country	0	0	0	2	1	3
joanna	3	0	0	0	0	3
lovey	0	3	0	0	0	3
feeling	0	1	0	0	2	3
points	1	0	1	1	0	3
albert	0	0	0	3	0	3
nabs	0	0	0	3	0	3
buzzball	0	0	0	3	0	3
break	2	0	0	1	0	3
worst	0	0	1	1	1	3
ka	0	0	3	0	0	3
chad	0	0	1	2	0	3
ohnepls	0	0	3	0	0	3
mans	0	0	0	0	3	3
hours	0	1	2	0	0	3
reunion	0	0	0	0	3	3
flatron	0	0	3	0	0	3
jump	1	0	0	0	2	3
hate	1	0	1	1	0	3
zemer	0	0	3	0	0	3
join	0	0	2	0	1	3
lacythugs	0	0	0	3	0	3
marlgm	0	0	0	3	0	3
boys	0	0	0	3	0	3
residentsleeper	2	0	0	0	1	3
band	1	0	2	0	0	3
cheap	0	0	3	0	0	3
kaichu	0	0	0	3	0	3
snowcone	0	0	0	3	0	3
thx	2	1	0	0	0	3
advance	1	0	1	0	1	3
foolish	0	1	0	0	2	3
civil	0	0	0	3	0	3
opieop	0	0	0	3	0	3
xhoci	0	0	3	0	0	3
tralis	0	0	3	0	0	3
timfooler	3	0	0	0	0	3
dying	1	1	0	0	1	3
imagine	0	0	1	1	1	3
pride	0	0	0	0	3	3
listening	2	0	0	0	1	3
rofl	0	1	0	2	0	3
reaction	0	1	2	0	0	3
content	0	0	1	0	2	3
skin	0	0	0	1	2	3
hows	2	0	0	1	0	3
outputchange	0	0	0	3	0	3
asf	0	0	0	0	3	3
stand	0	0	0	0	3	3
el	3	0	0	0	0	3
sendo	3	0	0	0	0	3
ripped	0	0	0	0	3	3
shot	0	0	2	1	0	3
gameplay	2	0	0	0	1	3
ll	3	0	0	0	0	3
mir	0	0	3	0	0	3
deposit	0	0	3	0	0	3
paska	0	0	3	0	0	3
xaromegalul	0	3	0	0	0	3
catkiss	0	2	1	0	0	3
push	0	1	0	0	2	3
traitor	1	1	0	1	0	3
brawlhalla	0	0	0	3	0	3
muslim	0	0	0	3	0	3
alveusscared	0	0	0	0	3	3
tutorial	0	0	0	0	3	3
